SERVICES,SERVICE CODE,SERVICES FOR,PRICE ,
Men's Haircut,S1,Men's Services,200,
Men's Trimming,S2,Men's Services,100,
Men's Blow Dry,S3,Men's Services,100,
Men's Head Massage,S4,Men's Services,200,
Men's Streax Spa,S5,Men's Services,400,
Men's Matrix Spa,S6,Men's Services,500,
Men's Loreal Spa,S7,Men's Services,700,
Men's Streax colour,S8,Men's Services,400,
Men's Matrix colour,S9,Men's Services,600,
Men's Loreal (INOA),S10,Men's Services,700,
Men's Colour,S11,Men's Services,900,
Men's Keratin,S12,Men's Services,1000,
Men's Smoothening,S13,Men's Services,1000,
Men's Papaya Facial,S14,Men's Services,700,
Men's Wine Facial,S15,Men's Services,1000,
Men's Ozone Facial,S16,Men's Services,2000,
Mens's Kaya Facial,S17,Men's Services,2000,
Men's O3+ Bridial Facial,S18,Men's Services,2000,
Men's Cheryl's Facial,S19,Men's Services,2400,
Men's Diamond Facial,S20,Men's Services,1500,
Men's Oxy Facial,S21,Men's Services,1000,
Men's Haldi Chandan Facial,S22,Men's Services,1000,
Men's Fruit Bleach,S23,Men's Services,250,
Men's Fem Bleach,S24,Men's Services,250,
Men's Oxy Bleach,S25,Men's Services,400,
Men's Gold Bleach,S26,Men's Services,400,
Men's D-Tan Bleach,S27,Men's Services,600,
Men's Cheryl Bleach,S28,Men's Services,600,
Men's O3 Bleach,S29,Men's Services,400,
Men's Cleanup,S30,Men's Services,500,
Men's Fruit Cleanup,S31,Men's Services,500,
Men's Papaya Cleanup,S32,Men's Services,600,
Men's Lemon Cleanup,S33,Men's Services,600,
Men's Oxy Cleanup,S34,Men's Services,600,
Men's Diamond Cleanup,S35,Men's Services,600,
Men's Wine Cleanup,S36,Men's Services,600,
Men's Haldi Chandan Cleanup,S37,Men's Services,600,
Men's Kaya Cleanup,S38,Men's Services,800,
Men's Lotus Cleanup,S39,Men's Services,1100,
Men's Ozone Cleanup,S40,Men's Services,1300,
Men's O3+ Cleanup,S41,Men's Services,1600,
Men's Cheryl's Cleanup,S42,Men's Services,1600,
Women's Threading Eyebrows,S43,Women's Services,40,
Women's Threading Upper lips,S44,Women's Services,20,
Women's Threading Chin,S45,Women's Services,20,
Women's Threading Forehead,S46,Women's Services,20,
Women's Threading Side lock,S47,Women's Services,100,
Women's Waxing Chin,S48,Women's Services,150,
Women's Waxing Upper lips,S49,Women's Services,100,
Women's Waxing Side lock,S50,Women's Services,200,
Women's Waxing Arms,S51,Women's Services,400,
Women's Waxing Half legs,S52,Women's Services,300,
Women's Waxing Full legs,S53,Women's Services,600,
Women's Waxing V wax,S54,Women's Services,800,
Women's Waxing Full body,S55,Women's Services,2500,
Women's Papaya Facial,S56,Women's Services,700,
